Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,21.270000,21.879999,21.059999,21.770000,21.303030,110449000
2022-01-04,22.520000,24.559999,22.420000,24.309999,23.788548,311645200
2022-01-05,24.059999,24.950001,23.469999,23.660000,23.152489,253540000
2022-01-06,24.090000,24.620001,23.360001,24.459999,23.935328,155058800
2022-01-07,24.670000,24.910000,24.040001,24.440001,23.915758,127017500
2022-01-10,24.100000,24.440001,23.350000,23.850000,23.338415,122800700
2022-01-11,23.780001,24.350000,23.280001,24.350000,23.827688,106011600
2022-01-12,24.610001,24.840000,24.010000,24.469999,23.945114,104050000
2022-01-13,24.639999,25.870001,24.370001,25.020000,24.483316,185780500
2022-01-14,24.469999,25.280001,24.299999,25.190001,24.649670,146012200
2022-01-18,24.870001,25.129999,24.299999,24.379999,23.857044,110518100
2022-01-19,24.650000,24.920000,22.410000,22.450001,21.968445,153198200
2022-01-20,21.879999,22.879999,21.570000,21.650000,21.185604,152014100
2022-01-21,21.209999,21.500000,20.540001,20.650000,20.207052,145532900
2022-01-24,19.930000,20.469999,18.799999,20.389999,19.952631,186674000
2022-01-25,20.000000,20.309999,19.559999,19.980000,19.551426,116775800
2022-01-26,21.010000,21.040001,19.570000,19.910000,19.482927,135786400
2022-01-27,20.309999,20.650000,19.410000,19.549999,19.130650,105674400
2022-01-28,19.320000,19.549999,18.920000,19.540001,19.219173,87677100
2022-01-31,19.580000,20.330000,19.370001,20.299999,19.966692,91361900
2022-02-01,20.610001,20.850000,19.920000,20.660000,20.320784,117651800
2022-02-02,20.809999,21.049999,20.180000,20.629999,20.291275,95377600
2022-02-03,20.170000,20.620001,19.870001,19.889999,19.563425,103016000
2022-02-04,18.520000,18.590000,17.520000,17.959999,17.665113,211100500
2022-02-07,17.730000,18.120001,17.700001,17.889999,17.596262,84610000
2022-02-08,17.580000,17.910000,17.020000,17.719999,17.429052,142694300
2022-02-09,18.270000,18.430000,18.030001,18.350000,18.048710,87118600
2022-02-10,17.969999,18.629999,17.920000,18.080000,17.783144,76195300
2022-02-11,18.100000,18.360001,17.420000,17.549999,17.261845,94534100
2022-02-14,17.510000,17.730000,17.290001,17.459999,17.173323,78625000
2022-02-15,17.799999,18.129999,17.719999,18.080000,17.783144,65883300
2022-02-16,17.889999,18.209999,17.740000,18.010000,17.714293,57442100
2022-02-17,17.860001,17.940001,17.500000,17.540001,17.252010,55368600
2022-02-18,17.600000,18.480000,17.570000,18.040001,17.743801,106404200
2022-02-22,17.670000,17.760000,17.070000,17.290001,17.006115,98550700
2022-02-23,17.500000,17.730000,16.879999,16.950001,16.671700,79855400
2022-02-24,15.990000,17.190001,15.960000,17.150000,16.868412,110443900
2022-02-25,17.250000,17.900000,17.120001,17.830000,17.537249,78888000
2022-02-28,17.340000,17.680000,17.209999,17.559999,17.271681,82367800
2022-03-01,17.410000,17.410000,16.450001,16.700001,16.425802,94819500
2022-03-02,17.500000,18.250000,17.299999,18.100000,17.802816,138638200
2022-03-03,18.250000,18.250000,17.440001,17.600000,17.311026,95395500
2022-03-04,17.350000,17.389999,16.639999,16.850000,16.573339,91304000
2022-03-07,16.840000,16.900000,15.970000,15.970000,15.707788,87999200
2022-03-08,16.059999,16.719999,15.770000,16.030001,15.766803,101020300
2022-03-09,16.650000,16.830000,16.280001,16.370001,16.101221,62846700
2022-03-10,16.110001,16.410000,15.760000,16.330000,16.061876,72992600
2022-03-11,16.400000,16.480000,16.010000,16.040001,15.776640,54985900
2022-03-14,16.090000,16.230000,15.510000,15.740000,15.481564,66341700
2022-03-15,15.770000,16.139999,15.530000,16.059999,15.796309,65263700
